Year,State,State Code,Ten-Year Age Groups,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population,Crude Rate
2010,Texas,48,65-74 years,Other reconstructive surgery,Y83.4,15,1472256,Unreliable
2010,Texas,48,65-74 years,Removal of other organ (partial) (total),Y83.6,33,1472256,2.2
2010,Texas,48,65-74 years,"Surgical procedure, unspecified",Y83.9,53,1472256,3.6
2010,Texas,48,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,40,824451,4.9
2010,Texas,48,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,39,824451,4.7
2010,Texas,48,75-84 years,Other reconstructive surgery,Y83.4,21,824451,2.5
2010,Texas,48,75-84 years,Removal of other organ (partial) (total),Y83.6,42,824451,5.1
2010,Texas,48,75-84 years,"Surgical procedure, unspecified",Y83.9,62,824451,7.5
2010,Texas,48,85+ years,Surgical operation with implant of artificial internal device,Y83.1,22,305179,7.2
2010,Texas,48,85+ years,"Surgical operation with anastomosis, bypass or graft",Y83.2,10,305179,Unreliable
2010,Texas,48,85+ years,Other reconstructive surgery,Y83.4,12,305179,Unreliable
2010,Texas,48,85+ years,Removal of other organ (partial) (total),Y83.6,14,305179,Unreliable
2010,Texas,48,85+ years,"Surgical procedure, unspecified",Y83.9,47,305179,15.4
2010,Utah,49,75-84 years,"Surgical procedure, unspecified",Y83.9,13,80247,Unreliable
2010,Utah,49,85+ years,"Surgical procedure, unspecified",Y83.9,10,30991,Unreliable
2010,Virginia,51,55-64 years,"Surgical procedure, unspecified",Y83.9,12,954964,Unreliable
2010,Virginia,51,65-74 years,Surgical operation with transplant of whole organ,Y83.0,12,549804,Unreliable
2010,Virginia,51,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,14,549804,Unreliable
2010,Virginia,51,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,16,549804,Unreliable
2010,Virginia,51,65-74 years,"Surgical procedure, unspecified",Y83.9,20,549804,3.6
2010,Virginia,51,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,11,304730,Unreliable
2010,Virginia,51,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,12,304730,Unreliable
2010,Virginia,51,75-84 years,"Surgical procedure, unspecified",Y83.9,15,304730,Unreliable
2010,Washington,53,55-64 years,Surgical operation with transplant of whole organ,Y83.0,15,835165,Unreliable
2010,Washington,53,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,15,835165,Unreliable
2010,Washington,53,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,15,457220,Unreliable
2010,Washington,53,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,18,457220,Unreliable
2010,Washington,53,65-74 years,Removal of other organ (partial) (total),Y83.6,15,457220,Unreliable
2010,Washington,53,65-74 years,"Surgical procedure, unspecified",Y83.9,22,457220,4.8
2010,Washington,53,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,22,253186,8.7
2010,Washington,53,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,22,253186,8.7
2010,Washington,53,75-84 years,Other reconstructive surgery,Y83.4,11,253186,Unreliable
2010,Washington,53,75-84 years,Removal of other organ (partial) (total),Y83.6,16,253186,Unreliable
2010,Washington,53,75-84 years,"Surgical procedure, unspecified",Y83.9,24,253186,9.5
2010,Washington,53,85+ years,Surgical operation with implant of artificial internal device,Y83.1,22,117271,18.8
2010,Washington,53,85+ years,"Surgical procedure, unspecified",Y83.9,18,117271,Unreliable
2010,West Virginia,54,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,11,163520,Unreliable
2010,Wisconsin,55,55-64 years,Surgical operation with transplant of whole organ,Y83.0,14,699811,Unreliable
2010,Wisconsin,55,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,15,400496,Unreliable
2010,Wisconsin,55,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,13,400496,Unreliable
2010,Wisconsin,55,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,22,258313,8.5
2010,Wisconsin,55,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,17,258313,Unreliable
2010,Wisconsin,55,75-84 years,Other reconstructive surgery,Y83.4,14,258313,Unreliable
2010,Wisconsin,55,75-84 years,"Surgical procedure, unspecified",Y83.9,29,258313,11.2
2010,Wisconsin,55,85+ years,Surgical operation with implant of artificial internal device,Y83.1,14,118505,Unreliable
2010,Wisconsin,55,85+ years,Other reconstructive surgery,Y83.4,16,118505,Unreliable
2010,Wisconsin,55,85+ years,"Surgical procedure, unspecified",Y83.9,17,118505,Unreliable
2011,Alabama,1,55-64 years,"Surgical procedure, unspecified",Y83.9,11,610224,Unreliable
2011,Alabama,1,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,16,380180,Unreliable
2011,Alabama,1,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,20,380180,5.3
2011,Alabama,1,65-74 years,"Surgical procedure, unspecified",Y83.9,22,380180,5.8
2011,Alabama,1,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,13,214663,Unreliable
2011,Alabama,1,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,15,214663,Unreliable
2011,Alabama,1,75-84 years,Removal of other organ (partial) (total),Y83.6,12,214663,Unreliable
2011,Alabama,1,85+ years,"Surgical procedure, unspecified",Y83.9,15,77743,Unreliable
2011,Arizona,4,55-64 years,Surgical operation with transplant of whole organ,Y83.0,12,756230,Unreliable
2011,Arizona,4,55-64 years,"Surgical procedure, unspecified",Y83.9,13,756230,Unreliable
2011,Arizona,4,65-74 years,Surgical operation with transplant of whole organ,Y83.0,13,521580,Unreliable
2011,Arizona,4,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,10,521580,Unreliable
2011,Arizona,4,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,16,521580,Unreliable
2011,Arizona,4,65-74 years,"Surgical procedure, unspecified",Y83.9,22,521580,4.2
2011,Arizona,4,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,25,290015,8.6
2011,Arizona,4,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,15,290015,Unreliable
2011,Arizona,4,75-84 years,"Surgical procedure, unspecified",Y83.9,17,290015,Unreliable
2011,Arizona,4,85+ years,"Surgical procedure, unspecified",Y83.9,11,110240,Unreliable
2011,Arkansas,5,55-64 years,"Surgical procedure, unspecified",Y83.9,10,363599,Unreliable
2011,Arkansas,5,65-74 years,Removal of other organ (partial) (total),Y83.6,16,240264,Unreliable
2011,Arkansas,5,65-74 years,"Surgical procedure, unspecified",Y83.9,14,240264,Unreliable
2011,Arkansas,5,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,10,135784,Unreliable
2011,Arkansas,5,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,11,135784,Unreliable
2011,Arkansas,5,75-84 years,"Surgical procedure, unspecified",Y83.9,11,135784,Unreliable
2011,California,6,45-54 years,Surgical operation with transplant of whole organ,Y83.0,24,5250438,0.5
2011,California,6,45-54 years,Surgical operation with implant of artificial internal device,Y83.1,10,5250438,Unreliable
2011,California,6,45-54 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,23,5250438,0.4
2011,California,6,45-54 years,Removal of other organ (partial) (total),Y83.6,16,5250438,Unreliable
2011,California,6,45-54 years,Other surgical procedures,Y83.8,16,5250438,Unreliable
2011,California,6,45-54 years,"Surgical procedure, unspecified",Y83.9,15,5250438,Unreliable
2011,California,6,55-64 years,Surgical operation with transplant of whole organ,Y83.0,23,4219756,0.5
2011,California,6,55-64 years,Surgical operation with implant of artificial internal device,Y83.1,27,4219756,0.6
2011,California,6,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,47,4219756,1.1
2011,California,6,55-64 years,Other reconstructive surgery,Y83.4,13,4219756,Unreliable
2011,California,6,55-64 years,Removal of other organ (partial) (total),Y83.6,26,4219756,0.6
2011,California,6,55-64 years,Other surgical procedures,Y83.8,20,4219756,0.5
2011,California,6,55-64 years,"Surgical procedure, unspecified",Y83.9,11,4219756,Unreliable
2011,California,6,65-74 years,Surgical operation with transplant of whole organ,Y83.0,26,2377066,1.1
2011,California,6,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,33,2377066,1.4
2011,California,6,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,53,2377066,2.2
2011,California,6,65-74 years,Surgical operation with formation of external stoma,Y83.3,12,2377066,Unreliable
2011,California,6,65-74 years,Other reconstructive surgery,Y83.4,20,2377066,0.8
2011,California,6,65-74 years,Amputation of limb(s),Y83.5,10,2377066,Unreliable
2011,California,6,65-74 years,Removal of other organ (partial) (total),Y83.6,32,2377066,1.3
2011,California,6,65-74 years,Other surgical procedures,Y83.8,19,2377066,Unreliable
2011,California,6,65-74 years,"Surgical procedure, unspecified",Y83.9,19,2377066,Unreliable
2011,California,6,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,58,1387924,4.2
2011,California,6,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,56,1387924,4
2011,California,6,75-84 years,Surgical operation with formation of external stoma,Y83.3,19,1387924,Unreliable
2011,California,6,75-84 years,Other reconstructive surgery,Y83.4,17,1387924,Unreliable
2011,California,6,75-84 years,Removal of other organ (partial) (total),Y83.6,43,1387924,3.1
2011,California,6,75-84 years,Other surgical procedures,Y83.8,26,1387924,1.9
2011,California,6,75-84 years,"Surgical procedure, unspecified",Y83.9,23,1387924,1.7
2011,California,6,85+ years,Surgical operation with implant of artificial internal device,Y83.1,42,633634,6.6
2011,California,6,85+ years,"Surgical operation with anastomosis, bypass or graft",Y83.2,28,633634,4.4
2011,California,6,85+ years,Surgical operation with formation of external stoma,Y83.3,15,633634,Unreliable
2011,California,6,85+ years,Other reconstructive surgery,Y83.4,25,633634,3.9
2011,California,6,85+ years,Removal of other organ (partial) (total),Y83.6,34,633634,5.4
2011,California,6,85+ years,Other surgical procedures,Y83.8,22,633634,3.5
2011,California,6,85+ years,"Surgical procedure, unspecified",Y83.9,27,633634,4.3
2011,Colorado,8,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,14,174134,Unreliable
2011,Colorado,8,75-84 years,"Surgical procedure, unspecified",Y83.9,11,174134,Unreliable
2011,Colorado,8,85+ years,Surgical operation with implant of artificial internal device,Y83.1,10,73797,Unreliable
2011,Colorado,8,85+ years,"Surgical procedure, unspecified",Y83.9,12,73797,Unreliable
2011,Connecticut,9,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,12,164790,Unreliable
2011,Florida,12,35-44 years,Surgical operation with transplant of whole organ,Y83.0,14,2404541,Unreliable
2011,Florida,12,35-44 years,"Surgical procedure, unspecified",Y83.9,10,2404541,Unreliable
2011,Florida,12,45-54 years,Surgical operation with implant of artificial internal device,Y83.1,10,2749413,Unreliable
2011,Florida,12,45-54 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,14,2749413,Unreliable
2011,Florida,12,45-54 years,"Surgical procedure, unspecified",Y83.9,18,2749413,Unreliable
2011,Florida,12,55-64 years,Surgical operation with transplant of whole organ,Y83.0,35,2433669,1.4
2011,Florida,12,55-64 years,Surgical operation with implant of artificial internal device,Y83.1,31,2433669,1.3
2011,Florida,12,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,28,2433669,1.2
2011,Florida,12,55-64 years,Removal of other organ (partial) (total),Y83.6,21,2433669,0.9
2011,Florida,12,55-64 years,Other surgical procedures,Y83.8,11,2433669,Unreliable
2011,Florida,12,55-64 years,"Surgical procedure, unspecified",Y83.9,26,2433669,1.1
2011,Florida,12,65-74 years,Surgical operation with transplant of whole organ,Y83.0,26,1778432,1.5
2011,Florida,12,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,43,1778432,2.4
2011,Florida,12,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,44,1778432,2.5
2011,Florida,12,65-74 years,Surgical operation with formation of external stoma,Y83.3,10,1778432,Unreliable
2011,Florida,12,65-74 years,Other reconstructive surgery,Y83.4,21,1778432,1.2
2011,Florida,12,65-74 years,Removal of other organ (partial) (total),Y83.6,38,1778432,2.1
2011,Florida,12,65-74 years,Other surgical procedures,Y83.8,11,1778432,Unreliable
2011,Florida,12,65-74 years,"Surgical procedure, unspecified",Y83.9,65,1778432,3.7
2011,Florida,12,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,59,1114372,5.3
2011,Florida,12,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,46,1114372,4.1
2011,Florida,12,75-84 years,Surgical operation with formation of external stoma,Y83.3,11,1114372,Unreliable
2011,Florida,12,75-84 years,Other reconstructive surgery,Y83.4,23,1114372,2.1
2011,Florida,12,75-84 years,Removal of other organ (partial) (total),Y83.6,54,1114372,4.8
2011,Florida,12,75-84 years,Other surgical procedures,Y83.8,21,1114372,1.9
2011,Florida,12,75-84 years,"Surgical procedure, unspecified",Y83.9,75,1114372,6.7
2011,Florida,12,85+ years,Surgical operation with implant of artificial internal device,Y83.1,40,467391,8.6
2011,Florida,12,85+ years,"Surgical operation with anastomosis, bypass or graft",Y83.2,20,467391,4.3
2011,Florida,12,85+ years,Surgical operation with formation of external stoma,Y83.3,14,467391,Unreliable
2011,Florida,12,85+ years,Other reconstructive surgery,Y83.4,15,467391,Unreliable
2011,Florida,12,85+ years,Removal of other organ (partial) (total),Y83.6,30,467391,6.4
2011,Florida,12,85+ years,Other surgical procedures,Y83.8,12,467391,Unreliable
2011,Florida,12,85+ years,"Surgical procedure, unspecified",Y83.9,25,467391,5.3
2011,Georgia,13,55-64 years,Surgical operation with transplant of whole organ,Y83.0,15,1115955,Unreliable
2011,Georgia,13,55-64 years,Surgical operation with implant of artificial internal device,Y83.1,15,1115955,Unreliable
2011,Georgia,13,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,12,1115955,Unreliable
2011,Georgia,13,55-64 years,"Surgical procedure, unspecified",Y83.9,11,1115955,Unreliable
2011,Georgia,13,65-74 years,Surgical operation with transplant of whole organ,Y83.0,13,637062,Unreliable
2011,Georgia,13,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,12,637062,Unreliable
2011,Georgia,13,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,20,637062,3.1
2011,Georgia,13,65-74 years,Removal of other organ (partial) (total),Y83.6,10,637062,Unreliable
2011,Georgia,13,65-74 years,"Surgical procedure, unspecified",Y83.9,28,637062,4.4
2011,Georgia,13,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,10,321202,Unreliable
2011,Georgia,13,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,20,321202,6.2
2011,Georgia,13,75-84 years,"Surgical procedure, unspecified",Y83.9,20,321202,6.2
2011,Georgia,13,85+ years,Surgical operation with implant of artificial internal device,Y83.1,10,119248,Unreliable
2011,Idaho,16,75-84 years,"Surgical procedure, unspecified",Y83.9,10,61243,Unreliable
2011,Illinois,17,45-54 years,Surgical operation with transplant of whole organ,Y83.0,13,1850775,Unreliable
2011,Illinois,17,45-54 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,10,1850775,Unreliable
2011,Illinois,17,55-64 years,Surgical operation with transplant of whole organ,Y83.0,32,1537348,2.1
2011,Illinois,17,55-64 years,Surgical operation with implant of artificial internal device,Y83.1,10,1537348,Unreliable
2011,Illinois,17,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,15,1537348,Unreliable
2011,Illinois,17,55-64 years,"Surgical procedure, unspecified",Y83.9,10,1537348,Unreliable
2011,Illinois,17,65-74 years,Surgical operation with transplant of whole organ,Y83.0,15,872945,Unreliable
2011,Illinois,17,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,15,872945,Unreliable
2011,Illinois,17,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,26,872945,3
2011,Illinois,17,65-74 years,Removal of other organ (partial) (total),Y83.6,16,872945,Unreliable
2011,Illinois,17,65-74 years,"Surgical procedure, unspecified",Y83.9,20,872945,2.3
2011,Illinois,17,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,26,524907,5
2011,Illinois,17,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,28,524907,5.3
2011,Illinois,17,75-84 years,Removal of other organ (partial) (total),Y83.6,18,524907,Unreliable
2011,Illinois,17,75-84 years,"Surgical procedure, unspecified",Y83.9,25,524907,4.8
2011,Illinois,17,85+ years,Surgical operation with implant of artificial internal device,Y83.1,24,242913,9.9
2011,Illinois,17,85+ years,"Surgical operation with anastomosis, bypass or graft",Y83.2,10,242913,Unreliable
2011,Illinois,17,85+ years,"Surgical procedure, unspecified",Y83.9,30,242913,12.4
2011,Indiana,18,45-54 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,11,935186,Unreliable
2011,Indiana,18,55-64 years,Surgical operation with transplant of whole organ,Y83.0,11,803177,Unreliable
2011,Indiana,18,55-64 years,Surgical operation with implant of artificial internal device,Y83.1,15,803177,Unreliable
2011,Indiana,18,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,17,803177,Unreliable
2011,Indiana,18,55-64 years,Removal of other organ (partial) (total),Y83.6,10,803177,Unreliable
2011,Indiana,18,55-64 years,"Surgical procedure, unspecified",Y83.9,11,803177,Unreliable
2011,Indiana,18,65-74 years,Surgical operation with transplant of whole organ,Y83.0,11,464789,Unreliable
2011,Indiana,18,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,15,464789,Unreliable
2011,Indiana,18,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,24,464789,5.2
2011,Indiana,18,65-74 years,Removal of other organ (partial) (total),Y83.6,18,464789,Unreliable
2011,Indiana,18,65-74 years,"Surgical procedure, unspecified",Y83.9,27,464789,5.8
2011,Indiana,18,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,23,273520,8.4
2011,Indiana,18,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,18,273520,Unreliable
2011,Indiana,18,75-84 years,Removal of other organ (partial) (total),Y83.6,16,273520,Unreliable
2011,Indiana,18,75-84 years,"Surgical procedure, unspecified",Y83.9,30,273520,11
2011,Indiana,18,85+ years,Surgical operation with implant of artificial internal device,Y83.1,17,119778,Unreliable
2011,Indiana,18,85+ years,"Surgical procedure, unspecified",Y83.9,19,119778,Unreliable
2011,Iowa,19,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,10,228350,Unreliable
2011,Iowa,19,65-74 years,"Surgical procedure, unspecified",Y83.9,10,228350,Unreliable
2011,Iowa,19,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,16,152730,Unreliable
2011,Iowa,19,75-84 years,Removal of other organ (partial) (total),Y83.6,10,152730,Unreliable
2011,Iowa,19,75-84 years,"Surgical procedure, unspecified",Y83.9,13,152730,Unreliable
2011,Iowa,19,85+ years,Surgical operation with implant of artificial internal device,Y83.1,12,76658,Unreliable
2011,Iowa,19,85+ years,"Surgical procedure, unspecified",Y83.9,16,76658,Unreliable
2011,Kansas,20,65-74 years,"Surgical procedure, unspecified",Y83.9,12,195260,Unreliable
2011,Kansas,20,75-84 years,"Surgical procedure, unspecified",Y83.9,10,125995,Unreliable
2011,Kentucky,21,55-64 years,Surgical operation with transplant of whole organ,Y83.0,11,560468,Unreliable
2011,Kentucky,21,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,11,560468,Unreliable
2011,Kentucky,21,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,13,334546,Unreliable
2011,Kentucky,21,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,14,334546,Unreliable
2011,Kentucky,21,65-74 years,Removal of other organ (partial) (total),Y83.6,10,334546,Unreliable
2011,Kentucky,21,65-74 years,"Surgical procedure, unspecified",Y83.9,12,334546,Unreliable
2011,Kentucky,21,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,12,185832,Unreliable
2011,Kentucky,21,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,14,185832,Unreliable
2011,Kentucky,21,75-84 years,"Surgical procedure, unspecified",Y83.9,13,185832,Unreliable
2011,Louisiana,22,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,11,321914,Unreliable
2011,Louisiana,22,65-74 years,"Surgical procedure, unspecified",Y83.9,10,321914,Unreliable
2011,Louisiana,22,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,10,182022,Unreliable
2011,Louisiana,22,75-84 years,"Surgical procedure, unspecified",Y83.9,11,182022,Unreliable
2011,Maryland,24,45-54 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,12,900717,Unreliable
2011,Maryland,24,55-64 years,Surgical operation with transplant of whole organ,Y83.0,10,726370,Unreliable
2011,Maryland,24,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,11,402219,Unreliable
2011,Maryland,24,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,13,224861,Unreliable
2011,Maryland,24,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,11,224861,Unreliable
2011,Maryland,24,75-84 years,"Surgical procedure, unspecified",Y83.9,12,224861,Unreliable
2011,Massachusetts,25,45-54 years,Surgical operation with transplant of whole organ,Y83.0,11,1009590,Unreliable
2011,Massachusetts,25,55-64 years,Surgical operation with transplant of whole organ,Y83.0,11,837865,Unreliable
2011,Massachusetts,25,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,16,473487,Unreliable
2011,Massachusetts,25,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,15,298323,Unreliable
2011,Massachusetts,25,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,12,298323,Unreliable
2011,Massachusetts,25,75-84 years,Removal of other organ (partial) (total),Y83.6,11,298323,Unreliable
2011,Massachusetts,25,75-84 years,"Surgical procedure, unspecified",Y83.9,16,298323,Unreliable
2011,Massachusetts,25,85+ years,Surgical operation with implant of artificial internal device,Y83.1,22,150079,14.7
2011,Massachusetts,25,85+ years,Removal of other organ (partial) (total),Y83.6,11,150079,Unreliable
2011,Michigan,26,45-54 years,Surgical operation with transplant of whole organ,Y83.0,11,1482011,Unreliable
2011,Michigan,26,55-64 years,Surgical operation with transplant of whole organ,Y83.0,23,1304153,1.8
2011,Michigan,26,55-64 years,Surgical operation with implant of artificial internal device,Y83.1,15,1304153,Unreliable
2011,Michigan,26,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,20,1304153,1.5
2011,Michigan,26,55-64 years,Removal of other organ (partial) (total),Y83.6,10,1304153,Unreliable
2011,Michigan,26,55-64 years,"Surgical procedure, unspecified",Y83.9,18,1304153,Unreliable
2011,Michigan,26,65-74 years,Surgical operation with transplant of whole organ,Y83.0,10,745553,Unreliable
2011,Michigan,26,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,20,745553,2.7
2011,Michigan,26,65-74 years,Removal of other organ (partial) (total),Y83.6,13,745553,Unreliable
2011,Michigan,26,65-74 years,"Surgical procedure, unspecified",Y83.9,32,745553,4.3
2011,Michigan,26,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,23,444347,5.2
2011,Michigan,26,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,19,444347,Unreliable
2011,Michigan,26,75-84 years,Removal of other organ (partial) (total),Y83.6,27,444347,6.1
2011,Michigan,26,75-84 years,"Surgical procedure, unspecified",Y83.9,37,444347,8.3
2011,Michigan,26,85+ years,Surgical operation with implant of artificial internal device,Y83.1,22,199255,11
2011,Michigan,26,85+ years,Removal of other organ (partial) (total),Y83.6,13,199255,Unreliable
2011,Michigan,26,85+ years,"Surgical procedure, unspecified",Y83.9,28,199255,14.1
2011,Minnesota,27,55-64 years,Surgical operation with transplant of whole organ,Y83.0,11,661215,Unreliable
2011,Minnesota,27,65-74 years,Surgical operation with transplant of whole organ,Y83.0,14,367400,Unreliable
2011,Minnesota,27,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,18,367400,Unreliable
2011,Minnesota,27,65-74 years,"Surgical procedure, unspecified",Y83.9,12,367400,Unreliable
2011,Minnesota,27,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,19,223754,Unreliable
2011,Minnesota,27,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,12,223754,Unreliable
2011,Minnesota,27,75-84 years,"Surgical procedure, unspecified",Y83.9,17,223754,Unreliable
2011,Minnesota,27,85+ years,Surgical operation with implant of artificial internal device,Y83.1,17,110614,Unreliable
2011,Minnesota,27,85+ years,"Surgical procedure, unspecified",Y83.9,18,110614,Unreliable
2011,Mississippi,28,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,17,219176,Unreliable
2011,Mississippi,28,65-74 years,"Surgical procedure, unspecified",Y83.9,19,219176,Unreliable
2011,Mississippi,28,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,10,123457,Unreliable
2011,Mississippi,28,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,10,123457,Unreliable
2011,Mississippi,28,75-84 years,"Surgical procedure, unspecified",Y83.9,15,123457,Unreliable
2011,Missouri,29,55-64 years,Surgical operation with transplant of whole organ,Y83.0,11,753697,Unreliable
2011,Missouri,29,55-64 years,Surgical operation with implant of artificial internal device,Y83.1,10,753697,Unreliable
2011,Missouri,29,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,15,753697,Unreliable
2011,Missouri,29,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,21,461304,4.6
2011,Missouri,29,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,17,461304,Unreliable
2011,Missouri,29,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,15,275749,Unreliable
2011,Missouri,29,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,13,275749,Unreliable
2011,Missouri,29,75-84 years,"Surgical procedure, unspecified",Y83.9,14,275749,Unreliable
2011,Missouri,29,85+ years,Surgical operation with implant of artificial internal device,Y83.1,15,117599,Unreliable
2011,Missouri,29,85+ years,"Surgical procedure, unspecified",Y83.9,14,117599,Unreliable
2011,Nevada,32,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,11,99530,Unreliable
2011,New Jersey,34,55-64 years,"Surgical procedure, unspecified",Y83.9,18,1087367,Unreliable
2011,New Jersey,34,65-74 years,Surgical operation with transplant of whole organ,Y83.0,11,630736,Unreliable
2011,New Jersey,34,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,23,630736,3.6
2011,New Jersey,34,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,14,630736,Unreliable
2011,New Jersey,34,65-74 years,Removal of other organ (partial) (total),Y83.6,13,630736,Unreliable
2011,New Jersey,34,65-74 years,"Surgical procedure, unspecified",Y83.9,20,630736,3.2
2011,New Jersey,34,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,33,392003,8.4
2011,New Jersey,34,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,26,392003,6.6
2011,New Jersey,34,75-84 years,Removal of other organ (partial) (total),Y83.6,24,392003,6.1
2011,New Jersey,34,75-84 years,"Surgical procedure, unspecified",Y83.9,18,392003,Unreliable
2011,New Jersey,34,85+ years,Surgical operation with implant of artificial internal device,Y83.1,35,185621,18.9
2011,New Jersey,34,85+ years,Removal of other organ (partial) (total),Y83.6,14,185621,Unreliable
2011,New Jersey,34,85+ years,"Surgical procedure, unspecified",Y83.9,16,185621,Unreliable
2011,New Mexico,35,65-74 years,Removal of other organ (partial) (total),Y83.6,10,160148,Unreliable
2011,New York,36,45-54 years,Surgical operation with transplant of whole organ,Y83.0,13,2864680,Unreliable
2011,New York,36,45-54 years,"Surgical procedure, unspecified",Y83.9,12,2864680,Unreliable
